09:43:14.430 [boundedElastic-5] ERROR c.r.g.h.GatewayExceptionHandler - [handle,52] - [网关异常处理]请求路径:/uav/uav_manage/list,异常信息:503 SERVICE_UNAVAILABLE "Unable to find instance for ruoyi-uavs"
09:43:14.772 [boundedElastic-1] ERROR c.r.g.h.GatewayExceptionHandler - [handle,52] - [网关异常处理]请求路径:/missionlevel/missionlevel/list,异常信息:503 SERVICE_UNAVAILABLE "Unable to find instance for ruoyi-missionlevel"
09:43:14.789 [boundedElastic-2] ERROR c.r.g.h.GatewayExceptionHandler - [handle,52] - [网关异常处理]请求路径:/uavtype/uavtype/list,异常信息:503 SERVICE_UNAVAILABLE "Unable to find instance for ruoyi-uavtype"
09:43:14.809 [boundedElastic-2] ERROR c.r.g.h.GatewayExceptionHandler - [handle,52] - [网关异常处理]请求路径:/keeper/keeper/list,异常信息:503 SERVICE_UNAVAILABLE "Unable to find instance for ruoyi-uavkeeper"
09:44:05.283 [boundedElastic-1] ERROR c.r.g.h.GatewayExceptionHandler - [handle,52] - [网关异常处理]请求路径:/keeper/keeper/list,异常信息:503 SERVICE_UNAVAILABLE "Unable to find instance for ruoyi-uavkeeper"
09:44:05.283 [boundedElastic-5] ERROR c.r.g.h.GatewayExceptionHandler - [handle,52] - [网关异常处理]请求路径:/missionlevel/missionlevel/list,异常信息:503 SERVICE_UNAVAILABLE "Unable to find instance for ruoyi-missionlevel"
09:44:05.811 [boundedElastic-5] ERROR c.r.g.h.GatewayExceptionHandler - [handle,52] - [网关异常处理]请求路径:/keeper/keeper/2,异常信息:503 SERVICE_UNAVAILABLE "Unable to find instance for ruoyi-uavkeeper"
09:44:05.811 [boundedElastic-9] ERROR c.r.g.h.GatewayExceptionHandler - [handle,52] - [网关异常处理]请求路径:/keeper/keeper/1,异常信息:503 SERVICE_UNAVAILABLE "Unable to find instance for ruoyi-uavkeeper"
09:48:05.777 [boundedElastic-2] ERROR c.r.g.h.GatewayExceptionHandler - [handle,52] - [网关异常处理]请求路径:/myflyrecord/myflyrecord/4,异常信息:503 SERVICE_UNAVAILABLE "Unable to find instance for ruoyi-myflyrecord"
09:48:21.248 [boundedElastic-11] ERROR c.r.g.h.GatewayExceptionHandler - [handle,52] - [网关异常处理]请求路径:/myflyrecord/myflyrecord/4,异常信息:503 SERVICE_UNAVAILABLE "Unable to find instance for ruoyi-myflyrecord"
09:56:02.924 [boundedElastic-9] ERROR c.r.g.h.GatewayExceptionHandler - [handle,52] - [网关异常处理]请求路径:/myflyrecord/myflyrecord/2,异常信息:503 SERVICE_UNAVAILABLE "Unable to find instance for ruoyi-myflyrecord"
09:56:44.425 [boundedElastic-8] ERROR c.r.g.h.GatewayExceptionHandler - [handle,52] - [网关异常处理]请求路径:/myflyrecord/myflyrecord/2,异常信息:503 SERVICE_UNAVAILABLE "Unable to find instance for ruoyi-myflyrecord"
